sex,age,mort_rate,provenance
F,18,1.830175e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,19,2.04972e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,20,2.295605e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,21,2.570985e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,22,2.879395e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,23,3.2248e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,24,3.61164e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,25,4.044885e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,26,4.530095e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,27,5.073505e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,28,5.6821e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,29,6.36369e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,30,7.12704e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,31,7.981945e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,32,8.93939e-05,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,33,0.0001001167,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,34,0.00011212555,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,35,0.00012557465,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,36,0.0001406367,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,37,0.00015750515,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,38,0.0001763964,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,39,0.0001975531,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,40,0.00022124675,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,41,0.00024778135,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,42,0.00027749745,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,43,0.00031077625,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,44,0.0003480446,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,45,0.00038978045,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,46,0.0004365189,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,47,0.00048885895,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,48,0.00054747135,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,49,0.0006131068,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,50,0.0006866058,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,51,0.00076890905,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,52,0.00086106945,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,53,0.0009642654,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,54,0.00107981565,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,55,0.0012091957,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,56,0.00135405665,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,57,0.0015162455,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,58,0.00169782815,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,59,0.00190111535,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,60,0.00212869085,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,61,0.0023834433,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,62,0.0026686016,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,63,0.0029877741,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,64,0.003344992,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,65,0.0037447577,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,66,0.00419209815,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,67,0.0046926237,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,68,0.0052525935,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,69,0.0058789869,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,70,0.00657958225,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,71,0.00736304325,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
