year_from,year_to,max_rate,provenance
1987,1994,0.0350,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
1995,2000,0.0400,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2001,2003,0.0325,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2004,2006,0.0275,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2007,2011,0.0225,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2012,2014,0.0175,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2015,2016,0.0125,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2017,2021,0.0090,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2022,2024,0.0025,"[REG-R15] Hoechstrechnungszins history under DeckRV Sec. 2 [REG-R14]; the 1994 and 2000 steps fall at mid-year, and a split year is assigned [std] to the rate in force on 1 January"
2025,9999,0.0100,"[REG-R15] 1,00 % from 1 January 2025, set by the Sechste Verordnung of 19 July 2024 (BGBl. 2024 I Nr. 250) - the first increase since 1994; the DAV recommended 1,0 % for 2026 as well [R8] [REG-R56]"
